1,,,,,,
2,1.63,2.50,4.07,2.83,1.83,2.99
3,1.40,2.00,3.37,2.25,1.76,2.40
4,1.20,1.60,2.63,1.76,1.47,1.74
5,1.20,1.59,2.43,1.39,1.35,1.53
6,1.12,1.32,2.17,1.11,1.12,1.34
7,1.01,1.28,1.65,0.88,1.03,1.24
8,0.92,0.97,1.10,0.67,0.93,1.05
9,0.85,0.82,0.66,0.56,0.82,0.88
10,0.78,0.73,0.57,0.47,0.64,0.78
11,0.66,0.55,0.43,0.42,0.47,0.66
12,0.60,0.47,0.37,0.46,0.46,0.54
13,0.60,0.40,0.38,0.55,0.55,0.49
14,0.51,0.33,0.31,0.51,0.51,0.34
15,0.37,0.24,0.21,0.37,0.37,0.21
16,0.29,0.19,0.14,0.29,0.29,0.14
17,0.26,0.19,0.14,0.27,0.27,0.13
18,0.47,0.48,0.45,0.54,0.54,0.44
19,0.67,0.73,0.71,0.74,0.74,0.70
20,,,,,,
